TestAide Data Save File
Version , 1.0
Function Generator
Version , 3.1
Data Collect Mode Index , 0 
Data Collect Mode , Timed Data
Time Interval Enable , 1 
Cycle Interval Enable , 0 
Data File Header ,  / 2025-04-21 22:02:14
 Time  , DY+ , F2X+ , F2Y+ 
 S  , mm , kN , kN 
713.3995 , -47.05954 , -99.95573 ,-110.03299965000001
713.4045 , -47.07098 , -100.0015 ,-109.98346695000001
713.4095 , -47.07098 , -99.93285 ,-110.0824242
713.4145 , -47.06526 , -99.97862 ,-110.15672325000001
713.4195 , -47.07098 , -99.95573 ,-110.10719055000001
713.4245 , -47.07098 , -100.0244 ,-110.057766
713.4295 , -47.06526 , -99.95573 ,-110.0824242
713.4345 , -47.07098 , -100.0244 ,-110.10719055000001
713.4395 , -47.07671 , -99.95573 ,-110.15672325000001
713.4445 , -47.07098 , -99.90996 ,-110.15672325000001
713.4495 , -47.07098 , -99.95573 ,-110.03299965000001
713.4545 , -47.06526 , -99.97862 ,-110.0824242
713.4595 , -47.07098 , -100.0244 ,-110.1319569
713.4645 , -47.06526 , -99.93285 ,-110.25578865000001
713.4695 , -47.06526 , -100.0244 ,-110.10719055000001
713.4745 , -47.07671 , -99.97862 ,-110.15672325000001
713.4796 , -47.06526 , -100.0015 ,-110.15672325000001
713.4846 , -47.06526 , -100.0015 ,-110.18148960000002
713.4896 , -47.07098 , -99.97862 ,-110.10719055000001
713.4946 , -47.07098 , -99.93285 ,-110.0082333
713.4996 , -47.07098 , -99.95573 ,-110.057766
713.5046 , -47.07671 , -99.97862 ,-110.03299965000001
713.5096 , -47.07671 , -99.97862 ,-110.0824242
713.5146 , -47.06526 , -99.95573 ,-109.95870060000001
713.5196 , -47.06526 , -100.0015 ,-110.18148960000002
713.5246 , -47.07098 , -100.0015 ,-110.10719055000001
713.5296 , -47.07098 , -99.95573 ,-110.0824242
713.5346 , -47.06526 , -99.90996 ,-110.03299965000001
713.5396 , -47.06526 , -100.0015 ,-110.0824242
713.5446 , -47.07098 , -100.0015 ,-110.0824242
713.5496 , -47.07098 , -99.95573 ,-110.10719055000001
713.5546 , -47.06526 , -99.95573 ,-110.20625595000001
713.5596 , -47.06526 , -100.0015 ,-110.1319569
713.5646 , -47.07098 , -99.95573 ,-110.0824242
713.5696 , -47.06526 , -99.97862 ,-110.10719055000001
713.5746 , -47.07671 , -99.93285 ,-110.25578865000001
713.5797 , -47.05954 , -99.95573 ,-110.25578865000001
713.5847 , -47.06526 , -99.93285 ,-110.03299965000001
713.5897 , -47.07098 , -99.97862 ,-110.057766
713.5947 , -47.06526 , -99.93285 ,-110.25578865000001
713.5997 , -47.07098 , -99.95573 ,-110.20625595000001
713.6047 , -47.06526 , -99.93285 ,-110.18148960000002
713.6097 , -47.06526 , -99.97862 ,-110.0824242
713.6147 , -47.07098 , -99.97862 ,-110.10719055000001
713.6197 , -47.07098 , -99.95573 ,-110.15672325000001
713.6247 , -47.06526 , -99.95573 ,-110.057766
713.6297 , -47.06526 , -99.95573 ,-110.0082333
713.6347 , -47.06526 , -99.97862 ,-110.03299965000001
713.6397 , -47.05954 , -100.0015 ,-110.03299965000001
713.6447 , -47.06526 , -99.93285 ,-110.2310223
713.6497 , -47.06526 , -99.95573 ,-110.057766
713.6547 , -47.06526 , -100.0015 ,-110.1319569
713.6597 , -47.06526 , -100.0015 ,-110.057766
713.6647 , -47.07098 , -100.0244 ,-110.10719055000001
713.6697 , -47.07098 , -99.95573 ,-110.0824242
713.6747 , -47.05954 , -99.90996 ,-110.10719055000001
713.6797 , -47.06526 , -99.95573 ,-110.1319569
713.6848 , -47.06526 , -99.97862 ,-110.15672325000001
713.6898 , -47.07098 , -100.0015 ,-110.15672325000001
713.6948 , -47.06526 , -99.95573 ,-110.0824242
713.6998 , -47.07671 , -100.0473 ,-110.25578865000001
713.7048 , -47.07098 , -100.0244 ,-110.057766
713.7098 , -47.07098 , -99.97862 ,-110.0824242
713.7148 , -47.07098 , -99.97862 ,-110.1319569
713.7198 , -47.06526 , -100.0015 ,-110.15672325000001
713.7248 , -47.06526 , -99.93285 ,-110.1319569
713.7298 , -47.07098 , -99.95573 ,-110.03299965000001
713.7348 , -47.07098 , -99.93285 ,-110.18148960000002
713.7398 , -47.06526 , -100.0244 ,-110.0824242
713.7448 , -47.06526 , -100.0244 ,-110.1319569
713.7498 , -47.06526 , -99.97862 ,-109.98346695000001
713.7548 , -47.07098 , -100.0015 ,-110.10719055000001
713.7598 , -47.06526 , -99.97862 ,-110.0824242
713.7648 , -47.07098 , -99.93285 ,-110.1319569
713.7698 , -47.07098 , -100.0244 ,-110.0082333
713.7748 , -47.07098 , -100.0473 ,-109.98346695000001
713.7798 , -47.06526 , -100.0015 ,-110.280555
