TestAide Data Save File
Version , 1.0
Function Generator
Version , 3.1
Data Collect Mode Index , 0 
Data Collect Mode , Timed Data
Time Interval Enable , 1 
Cycle Interval Enable , 0 
Data File Header ,  / 2025-03-23 16:35:30
 Time  , DY+ , D2Y+ , F2X+ , F2Y+ 
 S  , mm , mm , kN , kN 
539.0453 ,-44.767499,  5.549027 , -99.97862 ,-112.74849583000001
539.0503 ,-44.767499,  5.549027 , -100.0244 ,-112.773082415
539.0553 ,-44.767499,  5.549027 , -100.0244 ,-112.74849583000001
539.0603 ,-44.767499,  5.549409 , -99.97862 ,-112.797669
539.0653 ,-44.767499,  5.548265 , -100.0015 ,-112.723909245
539.0703 ,-44.767499,  5.549409 , -100.0015 ,-112.723909245
539.0753 ,-44.767499,  5.549027 , -99.97862 ,-112.74849583000001
539.0803 ,-44.760920999999996,  5.549027 , -100.0015 ,-112.723909245
539.0853 ,-44.767499,  5.549409 , -100.0244 ,-112.74849583000001
539.0903 ,-44.77407699999999,  5.548265 , -99.97862 ,-112.723909245
539.0953 ,-44.767499,  5.549409 , -99.97862 ,-112.74849583000001
539.1003 ,-44.767499,  5.548265 , -100.0244 ,-112.773082415
539.1053 ,-44.760920999999996,  5.549409 , -99.97862 ,-112.773082415
539.1104 ,-44.767499,  5.549027 , -99.95573 ,-112.69932266
539.1154 ,-44.760920999999996,  5.549409 , -100.0244 ,-112.74849583000001
539.1204 ,-44.767499,  5.549027 , -99.95573 ,-112.69932266
539.1254 ,-44.767499,  5.548265 , -99.97862 ,-112.69932266
539.1304 ,-44.77407699999999,  5.549409 , -99.97862 ,-112.723909245
539.1354 ,-44.767499,  5.548265 , -99.93285 ,-112.723909245
539.1404 ,-44.767499,  5.549409 , -100.0015 ,-112.723909245
539.1454 ,-44.77407699999999,  5.548646 , -99.97862 ,-112.74849583000001
539.1504 ,-44.767499,  5.548646 , -99.97862 ,-112.69932266
539.1554 ,-44.760920999999996,  5.549409 , -99.95573 ,-112.773082415
539.1604 ,-44.767499,  5.549027 , -99.95573 ,-112.723909245
539.1654 ,-44.77407699999999,  5.549409 , -100.0015 ,-112.74849583000001
539.1704 ,-44.767499,  5.548646 , -99.95573 ,-112.69932266
539.1754 ,-44.754343,  5.549027 , -99.95573 ,-112.723909245
539.1804 ,-44.767499,  5.549409 , -99.97862 ,-112.723909245
539.1854 ,-44.760920999999996,  5.548265 , -99.95573 ,-112.723909245
539.1904 ,-44.760920999999996,  5.54979 , -99.95573 ,-112.69932266
539.1954 ,-44.77407699999999,  5.549027 , -99.97862 ,-112.723909245
539.2004 ,-44.760920999999996,  5.549409 , -99.95573 ,-112.723909245
539.2054 ,-44.767499,  5.548646 , -99.95573 ,-112.773082415
539.2104 ,-44.780654999999996,  5.549409 , -99.95573 ,-112.773082415
539.2155 ,-44.77407699999999,  5.549409 , -99.93285 ,-112.773082415
539.2205 ,-44.767499,  5.549027 , -100.0015 ,-112.69932266
539.2255 ,-44.767499,  5.549409 , -99.93285 ,-112.74849583000001
539.2305 ,-44.767499,  5.549027 , -100.0015 ,-112.773082415
539.2355 ,-44.767499,  5.549409 , -99.97862 ,-112.723909245
539.2405 ,-44.77407699999999,  5.549409 , -99.95573 ,-112.69932266
539.2455 ,-44.767499,  5.548646 , -99.97862 ,-112.723909245
539.2505 ,-44.767499,  5.549409 , -99.95573 ,-112.723909245
539.2555 ,-44.77407699999999,  5.548265 , -99.97862 ,-112.74849583000001
539.2605 ,-44.767499,  5.548646 , -99.95573 ,-112.723909245
539.2655 ,-44.767499,  5.547883 , -99.97862 ,-112.69932266
539.2705 ,-44.77407699999999,  5.548646 , -100.0015 ,-112.723909245
539.2755 ,-44.767499,  5.548265 , -99.97862 ,-112.74849583000001
539.2805 ,-44.767499,  5.548265 , -99.97862 ,-112.74849583000001
539.2855 ,-44.767499,  5.549409 , -99.97862 ,-112.723909245
539.2905 ,-44.767499,  5.548265 , -99.95573 ,-112.723909245
539.2955 ,-44.767499,  5.548646 , -99.97862 ,-112.773082415
539.3005 ,-44.760920999999996,  5.548646 , -99.97862 ,-112.69932266
539.3055 ,-44.767499,  5.549027 , -99.95573 ,-112.773082415
539.3105 ,-44.767499,  5.549027 , -100.0015 ,-112.773082415
539.3156 ,-44.77407699999999,  5.547883 , -99.97862 ,-112.74849583000001
539.3206 ,-44.767499,  5.549409 , -99.97862 ,-112.723909245
539.3256 ,-44.767499,  5.548265 , -99.97862 ,-112.74849583000001
539.3306 ,-44.767499,  5.549027 , -99.97862 ,-112.723909245
539.3356 ,-44.767499,  5.549409 , -100.0244 ,-112.773082415
539.3406 ,-44.767499,  5.549409 , -100.0015 ,-112.723909245
539.3456 ,-44.77407699999999,  5.549409 , -100.0015 ,-112.723909245
539.3506 ,-44.760920999999996,  5.549027 , -99.97862 ,-112.723909245
539.3556 ,-44.760920999999996,  5.549409 , -99.97862 ,-112.69932266
539.3606 ,-44.760920999999996,  5.549027 , -100.0015 ,-112.773082415
539.3656 ,-44.767499,  5.549027 , -100.0244 ,-112.723909245
539.3706 ,-44.767499,  5.549409 , -99.93285 ,-112.74849583000001
539.3756 ,-44.767499,  5.547883 , -99.95573 ,-112.773082415
539.3806 ,-44.767499,  5.549409 , -99.97862 ,-112.723909245
539.3856 ,-44.77407699999999,  5.549027 , -100.0015 ,-112.723909245
539.3906 ,-44.767499,  5.549409 , -100.0015 ,-112.74849583000001
539.3956 ,-44.760920999999996,  5.549409 , -99.97862 ,-112.74849583000001
539.4006 ,-44.754343,  5.549027 , -99.97862 ,-112.723909245
539.4056 ,-44.767499,  5.549409 , -99.95573 ,-112.773082415
539.4106 ,-44.767499,  5.549409 , -99.97862 ,-112.74849583000001
539.4156 ,-44.77407699999999,  5.549409 , -100.0015 ,-112.74849583000001
539.4207 ,-44.767499,  5.548646 , -100.0015 ,-112.74849583000001
539.4257 ,-44.767499,  5.549409 , -100.0015 ,-112.773082415
539.4307 ,-44.77407699999999,  5.549409 , -99.95573 ,-112.773082415
539.4357 ,-44.767499,  5.548646 , -100.0015 ,-112.69932266
539.4407 ,-44.767499,  5.549409 , -100.0015 ,-112.69932266
539.4457 ,-44.767499,  5.548646 , -99.95573 ,-112.74849583000001
539.4507 ,-44.767499,  5.549027 , -100.0015 ,-112.723909245
539.4557 ,-44.767499,  5.548265 , -99.95573 ,-112.723909245
539.4607 ,-44.767499,  5.549409 , -100.0015 ,-112.723909245
539.4657 ,-44.767499,  5.549027 , -99.97862 ,-112.773082415
539.4707 ,-44.767499,  5.548646 , -100.0015 ,-112.723909245
539.4757 ,-44.767499,  5.549409 , -99.95573 ,-112.773082415
539.4807 ,-44.767499,  5.548265 , -99.95573 ,-112.773082415
539.4857 ,-44.77407699999999,  5.549027 , -99.97862 ,-112.74849583000001
539.4907 ,-44.767499,  5.548646 , -99.97862 ,-112.723909245
539.4957 ,-44.767499,  5.548646 , -99.95573 ,-112.773082415
539.5007 ,-44.77407699999999,  5.549409 , -100.0015 ,-112.723909245
539.5057 ,-44.767499,  5.547883 , -99.97862 ,-112.74849583000001
539.5107 ,-44.767499,  5.549409 , -99.97862 ,-112.74849583000001
539.5157 ,-44.767499,  5.547883 , -99.97862 ,-112.723909245
539.5208 ,-44.77407699999999,  5.549027 , -99.97862 ,-112.723909245
539.5258 ,-44.767499,  5.548646 , -99.95573 ,-112.723909245
539.5308 ,-44.767499,  5.547883 , -100.0015 ,-112.723909245
539.5358 ,-44.767499,  5.549409 , -100.0015 ,-112.723909245
